Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,GfM,Won,Lost,Draw,%
K Malotana (SA),1999-1999,1,1,0,0,0,0,0,0,0,1,0,0,100
BE Malouf (Aust),1982-1982,1,1,0,0,0,0,0,0,0,0,1,0,0
Y Malquier (Fra),1979-1979,1,1,0,8,2,0,0,0,0,1,0,0,100
Malu (Tonga),1947-1947,1,1,0,0,0,0,0,0,0,0,1,0,0
M Malu (Tonga),1979-1979,1,1,0,0,0,0,0,0,0,1,0,0,100
D Malyakin (Russ),2005-2005,1,0,1,0,0,0,0,0,0,0,1,0,0
J Mancini (Braz),1993-1993,1,1,0,0,0,0,0,0,0,0,1,0,0
A Maneco (Braz),1973-1973,1,1,0,0,0,0,0,0,0,0,1,0,0
BB Mann (Wales),1881-1881,1,1,0,0G,0,0,0,0,0,0,1,0,0
J Manning (Aust),1904-1904,1,1,0,0,0,0,0,0,0,0,1,0,0
RCS Manning (Aust),1967-1967,1,1,0,0,0,0,0,0,0,0,1,0,0
SJ Mannix (NZ),1994-1994,1,1,0,0,0,0,0,0,0,0,1,0,0
K Mano (JPN),1934-1934,1,1,0,0,0,0,0,0,0,0,1,0,0
D Manoileanu (Rom),1949-1949,1,1,0,0,0,0,0,0,0,1,0,0,100
BW Mansfield (Aust),1975-1975,1,1,0,0,0,0,0,0,0,1,0,0,100
JJ Manson (Scot),1995-1995,1,0,1,0,0,0,0,0,0,0,1,0,0
ND Mantell (Eng),1975-1975,1,1,0,0,0,0,0,0,0,0,1,0,0
C Mantoulan (Fra),1959-1959,1,1,0,0,0,0,0,0,0,0,1,0,0
Manulua (Samoa),1928-1928,1,1,0,0,0,0,0,0,0,0,1,0,0
MS Mapletoft (Eng),1997-1997,1,1,0,3,0,0,1,0,0,0,1,0,0
V Mara (Czech),2007-2007,1,0,1,0,0,0,0,0,0,0,1,0,0
S Marcel (Cooks),2014-2014,1,1,0,0,0,0,0,0,0,0,1,0,0
M Marcker (Neth),1998-1998,1,1,0,0,0,0,0,0,0,0,1,0,0
AA Marcucci Velasco (Braz),2018-2018,1,0,1,0,0,0,0,0,0,0,1,0,0
DS Mare (SA),1906-1906,1,1,0,0,0,0,0,0,0,0,1,0,0
M Mari (Urug),2019-2019,1,0,1,0,0,0,0,0,0,0,1,0,0
RL Maria (Arg),2008-2008,1,1,0,10,2,0,0,0,0,1,0,0,100
A Marin (Rom),2008-2008,1,1,0,0,0,0,0,0,0,1,0,0,100
G Marin (Spain),1935-1935,1,1,0,0,0,0,0,0,0,1,0,0,100
K Mariner (Samoa),2005-2005,1,0,1,0,0,0,0,0,0,1,0,0,100
J Mari Puig (Spain),1962-1962,1,1,0,0,0,0,0,0,0,0,1,0,0
E Markendale (Eng),1880-1880,1,1,0,0G,1,0,0,0,0,1,0,0,100
S Marote (Belg),2014-2014,1,0,1,0,0,0,0,0,0,0,1,0,0
A Marques (Braz),1989-1989,1,1,0,0,0,0,0,0,0,0,1,0,0
AMOS Marques (Port),2019-2019,1,0,1,0,0,0,0,0,0,1,0,0,100
MS Marques (Port),1936-1936,1,1,0,0,0,0,0,0,0,0,1,0,0
H Marracq (Fra),1961-1961,1,1,0,3,1,0,0,0,0,0,0,1,50
EE Marriott (Eng),1875-1875,1,1,0,0G,0,0,0,0,0,1,0,0,100
PA Marsberg (SA),1910-1910,1,1,0,0,0,0,0,0,0,1,0,0,100
H Marsh (Eng),1873-1873,1,1,0,0G,0,0,0,0,0,0,0,1,50
A Marshall (Scot),1875-1875,1,1,0,0G,0,0,0,0,0,0,0,1,50
B Marshall (Kenya),2017-2017,1,0,1,0,0,0,0,0,0,0,0,1,50
BDE Marshall (Ire),1963-1963,1,1,0,0,0,0,0,0,0,0,0,1,50
JS Marshall (Aust),1949-1949,1,1,0,0,0,0,0,0,0,0,1,0,0
W Marshall (Scot),1872-1872,1,1,0,0G,0,0,0,0,0,0,1,0,0
J Marsters (Cooks),2014-2014,1,0,1,0,0,0,0,0,0,0,1,0,0
AE Martelli (GB),1899-1899,1,1,0,0,0,0,0,0,0,0,1,0,0
J Martet Guirado (Spain),1952-1952,1,1,0,0,0,0,0,0,0,0,1,0,0
HJ Martin (SA),1937-1937,1,1,0,0,0,0,0,0,0,1,0,0,100
K Martin (HK),1991-1991,1,0,1,0,0,0,0,0,0,0,1,0,0
NO Martin (Eng),1972-1972,1,0,1,0,0,0,0,0,0,0,1,0,0
R Martin (Arg),1938-1938,1,1,0,0,0,0,0,0,0,1,0,0,100
D Martinez (Parag),1973-1973,1,1,0,0,0,0,0,0,0,0,1,0,0
N Martinez (Urug),2010-2010,1,0,1,5,1,0,0,0,0,0,1,0,0
R Martinez (Chile),2019-2019,1,0,1,0,0,0,0,0,0,1,0,0,100
O Martinez Basante (Arg),1954-1954,1,1,0,0,0,0,0,0,0,0,1,0,0
JB Martinez Gemar (Spain),1966-1966,1,1,0,0,0,0,0,0,0,0,1,0,0
A Martinez Gonzalez (Spain),1967-1967,1,1,0,0,0,0,0,0,0,0,1,0,0
F Martinez Larranaga (Spain),1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0
A Martinez Mahamut (Spain),1967-1967,1,1,0,0,0,0,0,0,0,1,0,0,100
J Martinez Medina (Spain),1952-1952,1,1,0,0,0,0,0,0,0,0,1,0,0
M Martinez Mosquera (Arg),1971-1971,1,1,0,6,2,0,0,0,0,1,0,0,100
M Martinez Perez (Spain),1960-1960,1,1,0,0,0,0,0,0,0,1,0,0,100
J Martinez Picornell (Spain),1966-1966,1,1,0,0,0,0,0,0,0,0,1,0,0
J Martinez Serra (Spain),1952-1952,1,1,0,0,0,0,0,0,0,0,1,0,0
MB Martins (Port),1954-1954,1,1,0,0,0,0,0,0,0,0,1,0,0
DP Martins Prates (Braz),2015-2015,1,0,1,0,0,0,0,0,0,0,1,0,0
M Martin Alonso (Spain),1952-1952,1,1,0,0,0,0,0,0,0,0,1,0,0
JF Martin Cinto (Spain),1959-1959,1,1,0,0,0,0,0,0,0,1,0,0,100
J Marugan Saenz (Spain),1972-1972,1,1,0,0,0,0,0,0,0,1,0,0,100
LCT Masaga (NZ),2009-2009,1,1,0,0,0,0,0,0,0,1,0,0,100
F Mascaro Melendres (Spain),1962-1962,1,1,0,0,0,0,0,0,0,0,1,0,0
S Masima (Tonga),2005-2005,1,1,0,0,0,0,0,0,0,0,1,0,0
M Masitabua (Fiji),1974-1974,1,1,0,0,0,0,0,0,0,0,1,0,0
DF Mason (NZ),1947-1947,1,0,1,3,1,0,0,0,0,1,0,0,100
JE Mason (Wales),1988-1988,1,0,1,0,0,0,0,0,0,0,1,0,0
P Mason (Can),1974-1974,1,1,0,0,0,0,0,0,0,0,1,0,0
Massari (Braz),1979-1979,1,1,0,0,0,0,0,0,0,0,1,0,0
H Masse (Fra),1937-1937,1,1,0,0,0,0,0,0,0,1,0,0,100
BS Massey (GB),1904-1904,1,1,0,0,0,0,0,0,0,1,0,0,100
M Massy-Westropp (Aust),1914-1914,1,1,0,0,0,0,0,0,0,0,1,0,0
RH Massy-Westropp (Ire),1886-1886,1,1,0,0G,0,0,0,0,0,0,1,0,0
P Mast (Neth),2002-2002,1,0,1,0,0,0,0,0,0,0,1,0,0
G Mastroiani (Urug),1979-1979,1,1,0,0,0,0,0,0,0,1,0,0,100
Y Masutome (JPN),1986-1986,1,1,0,0,0,0,0,0,0,0,1,0,0
M Mata'afa (Samoa),1947-1947,1,1,0,0,0,0,0,0,0,1,0,0,100
HK Mataira (NZ),1934-1934,1,1,0,0,0,0,0,0,0,0,0,1,50
T Matakaiongo (Tonga),1997-1997,1,1,0,0,0,0,0,0,0,0,1,0,0
RP Matawalu (Fiji),2019-2019,1,0,1,0,0,0,0,0,0,1,0,0,100
PC Mateo (Tonga),2010-2010,1,1,0,5,1,0,0,0,0,1,0,0,100
G Mateu Spuches (Spain),2015-2015,1,0,1,0,0,0,0,0,0,0,1,0,0
BJ Mather (Eng),1999-1999,1,1,0,0,0,0,0,0,0,0,1,0,0
AA Mathews (Wales),1886-1886,1,1,0,0G,0,0,0,0,0,0,1,0,0
R Mathias (Wales),1970-1970,1,1,0,0,0,0,0,0,0,1,0,0,100
J Matons Fabregat (Spain),1968-1968,1,1,0,0,0,0,0,0,0,1,0,0,100
K Matsubara (JPN),1930-1930,1,1,0,0,0,0,0,0,0,0,0,1,50
K Matsuda (JPN),1934-1934,1,1,0,0,0,0,0,0,0,0,1,0,0
M Matsuoka (JPN),1953-1953,1,1,0,0,0,0,0,0,0,0,1,0,0
M Mattei (Italy),1967-1967,1,1,0,0,0,0,0,0,0,0,1,0,0
JC Matters (Eng),1899-1899,1,1,0,0,0,0,0,0,0,0,1,0,0
CM Matthews (Wales),1939-1939,1,1,0,0,0,0,0,0,0,1,0,0,100
J Matthews (Phil),2013-2013,1,1,0,0,0,0,0,0,0,0,1,0,0
JA Mattsson (Ire),1948-1948,1,1,0,0,0,0,0,0,0,1,0,0,100
V Ma'u (Tonga),1947-1947,1,1,0,0,0,0,0,0,0,0,1,0,0
A Maughan (USA),2017-2017,1,0,1,0,0,0,0,0,0,1,0,0,100
B Maui (Cooks),2014-2014,1,1,0,0,0,0,0,0,0,0,1,0,0
JW Maund (Aust),1903-1903,1,1,0,0,0,0,0,0,0,0,1,0,0
JAL Maunder (Eng),2017-2017,1,0,1,0,0,0,0,0,0,1,0,0,100
M Mauricio (Port),1990-1990,1,0,1,0,0,0,0,0,0,0,1,0,0
G Maurin (Fra),1906-1906,1,1,0,0,0,0,0,0,0,0,1,0,0
O Mausia (Tonga),2019-2019,1,0,1,0,0,0,0,0,0,0,1,0,0
K Mavaega (Samoa),1985-1985,1,1,0,0,0,0,0,0,0,1,0,0,100
F Maxim (Rom),2007-2007,1,0,1,0,0,0,0,0,0,0,1,0,0
C Maxwell (Chile),1961-1961,1,1,0,0,0,0,0,0,0,0,1,0,0
FT Maxwell (Scot),1872-1872,1,1,0,0G,0,0,0,0,0,0,1,0,0
JM Maxwell (Scot),1957-1957,1,1,0,0,0,0,0,0,0,0,1,0,0
RB Maxwell (GB),1924-1924,1,1,0,0,0,0,0,0,0,0,1,0,0
B Mayaka (Kenya),2017-2017,1,0,1,0,0,0,0,0,0,0,1,0,0
TS Mayanavanua (Fiji),2019-2019,1,1,0,5,1,0,0,0,0,1,0,0,100
F Mayol (Chile),2004-2004,1,1,0,0,0,0,0,0,0,0,1,0,0
LAA Mayol Bouchon (Chile),1979-1979,1,1,0,0,0,0,0,0,0,0,1,0,0
R Mazagao (Braz),1993-1993,1,1,0,0,0,0,0,0,0,0,1,0,0
V Mazaltsev (Ukr),2005-2005,1,1,0,0,0,0,0,0,0,0,1,0,0
A Mdehwa (Zimb),1998-1998,1,0,1,0,0,0,0,0,0,0,1,0,0
JC Meabe (Arg),1997-1997,1,1,0,0,0,0,0,0,0,1,0,0,100
T Mealoi (Samoa),2017-2017,1,0,1,0,0,0,0,0,0,0,1,0,0
A Medvedkin (Kazak),2012-2012,1,1,0,0,0,0,0,0,0,0,1,0,0
N Meepage (SL),2011-2011,1,1,0,0,0,0,0,0,0,0,1,0,0
J Megre (Port),1979-1979,1,1,0,0,0,0,0,0,0,1,0,0,100
T Megrelidze (Belg),2014-2014,1,1,0,0,0,0,0,0,0,0,1,0,0
H Meher (Braz),1993-1993,1,1,0,0,0,0,0,0,0,0,1,0,0
A Mehrez (Belg),2018-2018,1,0,1,0,0,0,0,0,0,0,1,0,0
JH Meibusch (Aust),1904-1904,1,1,0,0,0,0,0,0,0,0,1,0,0
LS Meibusch (Aust),1912-1912,1,1,0,3,1,0,0,0,0,1,0,0,100
SSC Meikle (Eng),1929-1929,1,1,0,3,1,0,0,0,0,0,1,0,0
A Meira (Port),1936-1936,1,1,0,0,0,0,0,0,0,0,1,0,0
A Mejias Solis (Spain),1969-1969,1,1,0,0,0,0,0,0,0,1,0,0,100
RJG Melck (Germ),2014-2014,1,0,1,5,1,0,0,0,0,1,0,0,100
I Melei (Samoa),1972-1972,1,1,0,0,0,0,0,0,0,0,1,0,0
I Melendez Riesgo (Spain),1936-1936,1,1,0,0,0,0,0,0,0,1,0,0,100
TB Mellet (SA),1896-1896,1,1,0,0,0,0,0,0,0,0,1,0,0
H Melo (Port),2008-2008,1,1,0,0,0,0,0,0,0,0,1,0,0
JA Melo (Port),1974-1974,1,1,0,0,0,0,0,0,0,0,1,0,0
EM Melotto (Braz),2015-2015,1,0,1,0,0,0,0,0,0,0,1,0,0
D Melrose (Phil),2014-2014,1,0,1,0,0,0,0,0,0,0,1,0,0
P Menapace (Italy),1996-1996,1,0,1,0,0,0,0,0,0,1,0,0,100
N Mendoza (Parag),1991-1991,1,1,0,0,0,0,0,0,0,0,1,0,0
J Meneses Arriagada (Chile),2019-2019,1,0,1,0,0,0,0,0,0,0,1,0,0
R Menrath (Fra),1910-1910,1,1,0,8,0,1,2,0,0,0,1,0,0
M Mensik (Czech),2007-2007,1,0,1,0,0,0,0,0,0,0,1,0,0
D Mera (Urug),1981-1981,1,1,0,0,0,0,0,0,0,1,0,0,100
J Mera Orbezogo (Spain),1958-1958,1,1,0,0,0,0,0,0,0,1,0,0,100
O Meredith (Samoa),1947-1947,1,1,0,0,0,0,0,0,0,1,0,0,100
F Meret (Fra),1940-1940,1,1,0,0,0,0,0,0,0,0,1,0,0
J Merono Martinez (Spain),1955-1955,1,1,0,0,0,0,0,0,0,0,1,0,0
GA Merry (SA),1891-1891,1,1,0,0,0,0,0,0,0,0,1,0,0
HD Metcalf (SA),1903-1903,1,1,0,0,0,0,0,0,0,0,0,1,50
F Metz (Fra),2016-2016,1,0,1,0,0,0,0,0,0,0,1,0,0
GG Mexted (NZ),1950-1950,1,1,0,0,0,0,0,0,0,1,0,0,100
C Meyer (Parag),1989-1989,1,0,1,0,0,0,0,0,0,0,1,0,0
P Meyer (Namib),2005-2005,1,0,1,0,0,0,0,0,0,1,0,0,100
PJ Meyer (SA),1896-1896,1,1,0,0,0,0,0,0,0,0,1,0,0
Michael (Germ),1940-1940,1,1,0,0,0,0,0,0,0,0,1,0,0
RCB Michaelson (Wales),1963-1963,1,1,0,0,0,0,0,0,0,0,1,0,0
F Michau (Germ),2002-2002,1,1,0,0,0,0,0,0,0,0,0,1,50
F Michau (Germ),2001-2001,1,1,0,14,0,4,2,0,0,1,0,0,100
JM Michau (SA),1921-1921,1,1,0,0,0,0,0,0,0,0,1,0,0
A Michel (Neth),1980-1980,1,1,0,4,1,0,0,0,0,1,0,0,100
J Mickel (USA),1986-1986,1,1,0,0,0,0,0,0,0,0,1,0,0
T Miclescu (Rom),1971-1971,1,0,1,0,0,0,0,0,0,1,0,0,100
JA Middleton (Eng),1922-1922,1,1,0,0,0,0,0,0,0,1,0,0,100
X Mignot (Fra),2016-2016,1,1,0,0,0,0,0,0,0,0,1,0,0
D Mihai (Rom),1971-1971,1,0,1,0,0,0,0,0,0,1,0,0,100
D Mihalache (Rom),1973-1973,1,1,0,0,0,0,0,0,0,1,0,0,100
AJ Mika (Samoa),2000-2000,1,0,1,0,0,0,0,0,0,0,1,0,0
JH Miles (Eng),1903-1903,1,1,0,0,0,0,0,0,0,0,1,0,0
C Milheres (Fra),2001-2001,1,1,0,0,0,0,0,0,0,0,1,0,0
K Mill (Germ),1930-1930,1,1,0,0,0,0,0,0,0,0,1,0,0
IA Millar (HK),1972-1972,1,1,0,0,0,0,0,0,0,0,1,0,0
RK Millar (Scot),1924-1924,1,1,0,0,0,0,0,0,0,1,0,0,100
WR Millar (Kenya),1962-1962,1,1,0,0,0,0,0,0,0,0,1,0,0
FH Miller (Ire),1886-1886,1,1,0,0G,0,0,0,0,0,0,1,0,0
SWJ Miller (Aust),1899-1899,1,1,0,0,0,0,0,0,0,0,1,0,0
H Millett (Eng),1920-1920,1,1,0,0,0,0,0,0,0,1,0,0,100
TJ Millin (Ire),1925-1925,1,1,0,3,1,0,0,0,0,1,0,0,100
WJ Mills (SA),1910-1910,1,1,0,3,1,0,0,0,0,0,1,0,0
DF Milne (Scot),1991-1991,1,0,1,0,0,0,0,0,0,1,0,0,100
HP Milner (NZ),1970-1970,1,1,0,0,0,0,0,0,0,0,1,0,0
HC Milton (Eng),1906-1906,1,1,0,0,0,0,0,0,0,0,1,0,0
Minervino (Braz),1979-1979,1,1,0,0,0,0,0,0,0,0,1,0,0
PC Ming (Taip),2002-2002,1,1,0,0,0,0,0,0,0,0,1,0,0
TC Ming (Taip),1998-1998,1,1,0,0,0,0,0,0,0,0,1,0,0
R Minjat (Fra),1945-1945,1,1,0,0,0,0,0,0,0,1,0,0,100
JP Mir (Fra),1967-1967,1,1,0,0,0,0,0,0,0,1,0,0,100
PL Miranda Cardoso (Braz),1977-1977,1,1,0,0,0,0,0,0,0,0,1,0,0
J Miranda Martin (Spain),2014-2014,1,0,1,0,0,0,0,0,0,0,1,0,0
I Mironov (Russ),1992-1992,1,1,0,2,0,1,0,0,0,0,1,0,0
MM Mitchell (USA),1913-1913,1,1,0,0,0,0,0,0,0,0,1,0,0
TW Mitchell (NZ),1976-1976,1,0,1,0,0,0,0,0,0,0,1,0,0
B Mitchelstein (Arg),1936-1936,1,1,0,0,0,0,0,0,0,0,1,0,0
V Mitin (Kazak),2011-2011,1,1,0,0,0,0,0,0,0,0,1,0,0
F Mitra (Phil),2014-2014,1,0,1,0,0,0,0,0,0,0,1,0,0
S Miura (JPN),1963-1963,1,1,0,0,0,0,0,0,0,1,0,0,100
K Miyaji (JPN),1969-1969,1,1,0,0,0,0,0,0,0,1,0,0,100
H Miyaji-Yoshizawa (JPN),1930-1930,1,1,0,0,0,0,0,0,0,0,0,1,50
F Moala (Tonga),1986-1986,1,1,0,0,0,0,0,0,0,0,1,0,0
S Moala (Samoa),2008-2008,1,1,0,0,0,0,0,0,0,0,1,0,0
T Moala (Tonga),1972-1972,1,1,0,0,0,0,0,0,0,0,1,0,0
F Moananu (Samoa),1989-1989,1,1,0,0,0,0,0,0,0,1,0,0,100
WO Moberly (Eng),1872-1872,1,1,0,0G,0,0,0,0,0,1,0,0,100
M Mocetadra (Fiji),2012-2012,1,0,1,5,1,0,0,0,0,1,0,0,100
R Modin (Fra),1987-1987,1,1,0,12,3,0,0,0,0,1,0,0,100
U Modonesi (Italy),1929-1929,1,1,0,0,0,0,0,0,0,0,1,0,0
IM Moffat-Pender (Scot),1914-1914,1,1,0,0,0,0,0,0,0,0,1,0,0
D Mogere (Kenya),2011-2011,1,0,1,0,0,0,0,0,0,1,0,0,100
S Mohamed (SL),2011-2011,1,0,1,0,0,0,0,0,0,0,1,0,0
S Moimoi (Tonga),2001-2001,1,0,1,0,0,0,0,0,0,0,1,0,0
G Moise (Port),2020-2020,1,1,0,0,0,0,0,0,0,0,1,0,0
CT Mold (Arg),1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0
Moli (Samoa),1928-1928,1,1,0,0,0,0,0,0,0,0,1,0,0
D Moliet (Braz),1993-1993,1,1,0,0,0,0,0,0,0,0,1,0,0
M Molina (Venez),2004-2004,1,1,0,0,0,0,0,0,0,0,1,0,0
FC Molinare Neder (Chile),2015-2015,1,0,1,0,0,0,0,0,0,1,0,0,100
F Molinari (Italy),1973-1973,1,1,0,0,0,0,0,0,0,0,1,0,0
G Molinari (Italy),1948-1948,1,1,0,0,0,0,0,0,0,0,1,0,0
TM Moll (SA),1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0
JU Molony (Ire),1950-1950,1,1,0,0,0,0,0,0,0,1,0,0,100
CM Momson (USA),1912-1912,1,1,0,0,0,0,0,0,0,0,1,0,0
P Monaghan (Can),1982-1982,1,1,0,0,0,0,0,0,0,0,1,0,0
S Monleon Cremades (Spain),1975-1975,1,1,0,0,0,0,0,0,0,0,1,0,0
B Monroe (USA),1985-1985,1,1,0,0,0,0,0,0,0,0,1,0,0
FD Montanella (Fra),2007-2007,1,0,1,0,0,0,0,0,0,0,1,0,0
A Monteiro (Port),1982-1982,1,1,0,0,0,0,0,0,0,0,1,0,0
JM Montero (Urug),1971-1971,1,1,0,0,0,0,0,0,0,0,1,0,0
A Montgomery (Ire),1895-1895,1,1,0,0,0,0,0,0,0,0,1,0,0
CIA Monti (Aust),1938-1938,1,1,0,0,0,0,0,0,0,0,1,0,0
P Montiel (Parag),2002-2002,1,1,0,0,0,0,0,0,0,0,1,0,0
T Moodie (Chile),1938-1938,1,1,0,0,0,0,0,0,0,0,1,0,0
GJT Moore (NZ),1949-1949,1,1,0,3,1,0,0,0,0,0,1,0,0
PBC Moore (Eng),1951-1951,1,1,0,0,0,0,0,0,0,0,1,0,0
WD Moore (Ire),1878-1878,1,1,0,0G,0,0,0,0,0,0,1,0,0
WJ Moore (Wales),1933-1933,1,1,0,0,0,0,0,0,0,0,1,0,0
R Moors (Samoa),1994-1994,1,0,1,0,0,0,0,0,0,1,0,0,100
J Moraes (Braz),1996-1996,1,1,0,0,0,0,0,0,0,0,1,0,0
O Moraes (Braz),2015-2015,1,1,0,0,0,0,0,0,0,0,1,0,0
G Moragas Moragas (Spain),1957-1957,1,1,0,0,0,0,0,0,0,0,1,0,0
C Morais (Port),2012-2012,1,1,0,0,0,0,0,0,0,0,1,0,0
F Morales Riesgo (Spain),1951-1951,1,1,0,0,0,0,0,0,0,0,1,0,0
HM Moran (Aust),1908-1908,1,1,0,0,0,0,0,0,0,0,1,0,0
M Morayta (Spain),1931-1931,1,1,0,0,0,0,0,0,0,1,0,0,100
RJ Mordell (Eng),1978-1978,1,1,0,0,0,0,0,0,0,0,1,0,0
A Morel (Fra),1954-1954,1,1,0,3,1,0,0,0,0,1,0,0,100
Morelga (Parag),1987-1987,1,0,1,0,0,0,0,0,0,0,1,0,0
F Moreno (Chile),2007-2007,1,1,0,0,0,0,0,0,0,0,1,0,0
G Moreno (Belg),2019-2019,1,0,1,0,0,0,0,0,0,0,1,0,0
L Moreno (Braz),2019-2019,1,0,1,0,0,0,0,0,0,0,1,0,0
A Morgado (Port),1935-1935,1,0,1,0,0,0,0,0,0,0,1,0,0
GR Morgan (Wales),1984-1984,1,1,0,0,0,0,0,0,0,0,1,0,0
JR Morgan (Eng),1920-1920,1,1,0,0,0,0,0,0,0,0,1,0,0
LA Morgan (Wales),2018-2018,1,1,0,0,0,0,0,0,0,1,0,0,100
S Morgan (Wales),2007-2007,1,0,1,0,0,0,0,0,0,0,1,0,0
T Morgan (Wales),1889-1889,1,1,0,0G,0,0,0,0,0,0,1,0,0
CCH Moriarty (Ire),1899-1899,1,1,0,0,0,0,0,0,0,1,0,0,100
K Morikawa (JPN),2012-2012,1,0,1,5,1,0,0,0,0,1,0,0,100
C Moringo (Parag),1979-1979,1,1,0,0,0,0,0,0,0,0,1,0,0
J Morinigo (Parag),2003-2003,1,1,0,6,0,0,0,0,0,0,1,0,0
K Morioka (JPN),1982-1982,1,1,0,0,0,0,0,0,0,0,1,0,0
DJA Morkel (SA),1903-1903,1,1,0,0,0,0,0,0,0,0,0,1,50
HJL Morkel (SA),1921-1921,1,1,0,0,0,0,0,0,0,0,1,0,0
PK Morkel (SA),1928-1928,1,1,0,0,0,0,0,0,0,0,1,0,0
VJP Moroney (Can),1962-1962,1,1,0,0,0,0,0,0,0,0,0,1,50
EM Morphy (Ire),1908-1908,1,1,0,0,0,0,0,0,0,0,1,0,0
SB Morrell (Fiji),2009-2009,1,1,0,0,0,0,0,0,0,1,0,0,100
H Morris (Phil),2014-2014,1,1,0,0,0,0,0,0,0,0,1,0,0
LM Morris (USA),1912-1912,1,1,0,0,0,0,0,0,0,0,1,0,0
O Morrison (HK),2002-2002,1,1,0,2,0,1,0,0,0,1,0,0,100
RA Morrison (Rom),2015-2015,1,1,0,5,1,0,0,0,0,1,0,0,100
TG Morrison (NZ),1973-1973,1,0,1,0,0,0,0,0,0,0,1,0,0
WH Morrison (Scot),1900-1900,1,1,0,0,0,0,0,0,0,0,1,0,0
W Morrissey (Aust),1914-1914,1,1,0,0,0,0,0,0,0,0,1,0,0
WA Morton (Ire),1888-1888,1,1,0,0G,0,0,0,0,0,0,1,0,0
Mose (Samoa),1932-1932,1,1,0,0,0,0,0,0,0,0,1,0,0
T Moser (USA),1980-1980,1,1,0,0,0,0,0,0,0,0,1,0,0
Mota (Braz),1991-1991,1,1,0,0,0,0,0,0,0,0,1,0,0
S Motari (Kenya),2015-2015,1,1,0,0,0,0,0,0,0,1,0,0,100
S Motoi (Samoa),1984-1984,1,1,0,0,0,0,0,0,0,1,0,0,100
K Motoyoshi (JPN),2001-2001,1,1,0,0,0,0,0,0,0,1,0,0,100
K Motu'apuaka (Tonga),1972-1972,1,1,0,0,0,0,0,0,0,0,1,0,0
AL Motuga (Samoa),2019-2019,1,0,1,0,0,0,0,0,0,1,0,0,100
S Motuliki (Tonga),1967-1967,1,1,0,0,0,0,0,0,0,0,0,1,50
Motz (Germ),1935-1935,1,1,0,0,0,0,0,0,0,0,1,0,0
SJBP Mouchet (Arab),2006-2006,1,1,0,3,0,0,0,1,0,0,1,0,0
S Mo'ungalo (Tonga),1947-1947,1,1,0,0,0,0,0,0,0,0,1,0,0
LP Moura (Chile),1971-1971,1,1,0,0,0,0,0,0,0,0,1,0,0
H Moure (Fra),1908-1908,1,1,0,0,0,0,0,0,0,0,1,0,0
A Mournet (Fra),1981-1981,1,0,1,0,0,0,0,0,0,0,1,0,0
F Mouronval (Fra),1909-1909,1,1,0,0,0,0,0,0,0,0,1,0,0
H Mouton (Namib),2000-2000,1,0,1,0,0,0,0,0,0,1,0,0,100
OA Mouton (Namib),2019-2019,1,1,0,0,0,0,0,0,0,1,0,0,100
IEJ Moutray (Aust),1963-1963,1,1,0,0,0,0,0,0,0,1,0,0,100
LW Moyers (Ire),1884-1884,1,1,0,0G,0,0,0,0,0,0,1,0,0
MMF Moylett (Ire),1988-1988,1,1,0,0,0,0,0,0,0,0,1,0,0
G Mtchedlishvili (Georg),2017-2017,1,0,1,0,0,0,0,0,0,1,0,0,100
DS Mtya (Rom),2018-2018,1,1,0,0,0,0,0,0,0,0,1,0,0
HC Mu (Korea),1976-1976,1,1,0,0,0,0,0,0,0,0,1,0,0
RR Muagututia (Samoa),2010-2010,1,1,0,0,0,0,0,0,0,1,0,0,100
R Mubarak (SL),2014-2014,1,1,0,5,0,1,1,0,0,0,1,0,0
A Muir (Sing),2009-2009,1,0,1,0,0,0,0,0,0,0,1,0,0
DG Muirhead (Zimb),1991-1991,1,1,0,0,0,0,0,0,0,0,1,0,0
E Mulieri (Arg),1997-1997,1,1,0,10,2,0,0,0,0,1,0,0,100
M Mullany (Cooks),2014-2014,1,0,1,0,0,0,0,0,0,0,1,0,0
DV Muller (Braz),2019-2019,1,0,1,0,0,0,0,0,0,0,1,0,0
F Muller (Germ),1900-1900,1,1,0,0,0,0,0,0,0,0,1,0,0
M Muller (Germ),2018-2018,1,1,0,3,0,0,1,0,0,0,1,0,0
S Muller (Arg),1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0
P Muller East (Chile),2013-2013,1,1,0,0,0,0,0,0,0,0,1,0,0
PJ Mulligan (Aust),1925-1925,1,0,1,0,0,0,0,0,0,0,1,0,0
AR Mullins (Eng),1989-1989,1,1,0,0,0,0,0,0,0,1,0,0,100
S Mulumba (Belg),2018-2018,1,1,0,0,0,0,0,0,0,0,1,0,0
WJ Mumm (NZ),1949-1949,1,1,0,0,0,0,0,0,0,0,1,0,0
Munoz (Chile),1964-1964,1,1,0,0,0,0,0,0,0,0,1,0,0
C Munoz (Chile),1989-1989,1,1,0,4,1,0,0,0,0,0,1,0,0
D Munoz (Urug),1985-1985,1,0,1,0,0,0,0,0,0,1,0,0,100
JC Munoz Clement (Spain),1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0
